,Date,Annee,Mois,Jour,jour_sem,Code INSEE région,Consommation (MW),jour férié,Région,Température (°C),PERIODE,Prix
210,2013-01-18,2013,1,18,4,52,122640.0,0,Pays de la Loire,0.0,2013-01,14.4019
211,2013-01-18,2013,1,18,4,53,98334.0,0,Bretagne,2.0,2013-01,14.4019
212,2013-01-18,2013,1,18,4,75,189832.0,0,Nouvelle-Aquitaine,0.0,2013-01,14.4019
213,2013-01-18,2013,1,18,4,76,169539.0,0,Occitanie,0.0,2013-01,14.4019
214,2013-01-18,2013,1,18,4,84,272058.0,0,Auvergne-Rhône-Alpes,-3.0,2013-01,14.4019
215,2013-01-18,2013,1,18,4,93,173597.0,0,Provence-Alpes-Côte d'Azur,0.0,2013-01,14.4019
216,2013-01-19,2013,1,19,5,11,297022.0,0,Île-de-France,-1.0,2013-01,14.4019
217,2013-01-19,2013,1,19,5,24,78675.0,0,Centre-Val de Loire,0.0,2013-01,14.4019
218,2013-01-19,2013,1,19,5,27,78581.0,0,Bourgogne-Franche-Comté,-1.0,2013-01,14.4019
219,2013-01-19,2013,1,19,5,28,115931.0,0,Normandie,0.0,2013-01,14.4019
220,2013-01-19,2013,1,19,5,32,188609.0,0,Hauts-de-France,-2.0,2013-01,14.4019
221,2013-01-19,2013,1,19,5,44,162250.0,0,Grand Est,-1.0,2013-01,14.4019
222,2013-01-19,2013,1,19,5,52,109401.0,0,Pays de la Loire,0.0,2013-01,14.4019
223,2013-01-19,2013,1,19,5,53,92658.0,0,Bretagne,2.0,2013-01,14.4019
224,2013-01-19,2013,1,19,5,75,163894.0,0,Nouvelle-Aquitaine,3.0,2013-01,14.4019
225,2013-01-19,2013,1,19,5,76,148419.0,0,Occitanie,5.0,2013-01,14.4019
226,2013-01-19,2013,1,19,5,84,236712.0,0,Auvergne-Rhône-Alpes,1.0,2013-01,14.4019
227,2013-01-19,2013,1,19,5,93,162373.0,0,Provence-Alpes-Côte d'Azur,4.0,2013-01,14.4019
228,2013-01-20,2013,1,20,6,11,290235.0,0,Île-de-France,-1.0,2013-01,14.4019
229,2013-01-20,2013,1,20,6,24,76644.0,0,Centre-Val de Loire,0.0,2013-01,14.4019
230,2013-01-20,2013,1,20,6,27,72346.0,0,Bourgogne-Franche-Comté,0.0,2013-01,14.4019
231,2013-01-20,2013,1,20,6,28,111822.0,0,Normandie,0.0,2013-01,14.4019
232,2013-01-20,2013,1,20,6,32,182683.0,0,Hauts-de-France,-4.0,2013-01,14.4019
233,2013-01-20,2013,1,20,6,44,152698.0,0,Grand Est,0.0,2013-01,14.4019
234,2013-01-20,2013,1,20,6,52,101571.0,0,Pays de la Loire,2.0,2013-01,14.4019
235,2013-01-20,2013,1,20,6,53,85725.0,0,Bretagne,3.0,2013-01,14.4019
236,2013-01-20,2013,1,20,6,75,162018.0,0,Nouvelle-Aquitaine,2.0,2013-01,14.4019
237,2013-01-20,2013,1,20,6,76,137301.0,0,Occitanie,3.0,2013-01,14.4019
238,2013-01-20,2013,1,20,6,84,218629.0,0,Auvergne-Rhône-Alpes,3.0,2013-01,14.4019
239,2013-01-20,2013,1,20,6,93,144958.0,0,Provence-Alpes-Côte d'Azur,6.0,2013-01,14.4019
240,2013-01-21,2013,1,21,0,11,309140.0,0,Île-de-France,0.0,2013-01,14.4019
241,2013-01-21,2013,1,21,0,24,80729.0,0,Centre-Val de Loire,1.0,2013-01,14.4019
242,2013-01-21,2013,1,21,0,27,82312.0,0,Bourgogne-Franche-Comté,1.0,2013-01,14.4019
243,2013-01-21,2013,1,21,0,28,117032.0,0,Normandie,0.0,2013-01,14.4019
244,2013-01-21,2013,1,21,0,32,191528.0,0,Hauts-de-France,0.0,2013-01,14.4019
245,2013-01-21,2013,1,21,0,44,167389.0,0,Grand Est,0.0,2013-01,14.4019
246,2013-01-21,2013,1,21,0,52,112451.0,0,Pays de la Loire,3.0,2013-01,14.4019
247,2013-01-21,2013,1,21,0,53,92530.0,0,Bretagne,4.0,2013-01,14.4019
248,2013-01-21,2013,1,21,0,75,172731.0,0,Nouvelle-Aquitaine,5.0,2013-01,14.4019
249,2013-01-21,2013,1,21,0,76,151256.0,0,Occitanie,3.0,2013-01,14.4019
250,2013-01-21,2013,1,21,0,84,245422.0,0,Auvergne-Rhône-Alpes,2.0,2013-01,14.4019
251,2013-01-21,2013,1,21,0,93,154558.0,0,Provence-Alpes-Côte d'Azur,4.0,2013-01,14.4019
252,2013-01-22,2013,1,22,1,11,308665.0,0,Île-de-France,0.0,2013-01,14.4019
253,2013-01-22,2013,1,22,1,24,80294.0,0,Centre-Val de Loire,3.0,2013-01,14.4019
254,2013-01-22,2013,1,22,1,27,82241.0,0,Bourgogne-Franche-Comté,2.0,2013-01,14.4019
255,2013-01-22,2013,1,22,1,28,117989.0,0,Normandie,2.0,2013-01,14.4019
256,2013-01-22,2013,1,22,1,32,199959.0,0,Hauts-de-France,0.0,2013-01,14.4019
257,2013-01-22,2013,1,22,1,44,174297.0,0,Grand Est,0.0,2013-01,14.4019
258,2013-01-22,2013,1,22,1,52,110644.0,0,Pays de la Loire,5.0,2013-01,14.4019
259,2013-01-22,2013,1,22,1,53,89903.0,0,Bretagne,5.0,2013-01,14.4019
260,2013-01-22,2013,1,22,1,75,177531.0,0,Nouvelle-Aquitaine,4.0,2013-01,14.4019
261,2013-01-22,2013,1,22,1,76,151918.0,0,Occitanie,3.0,2013-01,14.4019
262,2013-01-22,2013,1,22,1,84,243191.0,0,Auvergne-Rhône-Alpes,2.0,2013-01,14.4019
263,2013-01-22,2013,1,22,1,93,152785.0,0,Provence-Alpes-Côte d'Azur,5.0,2013-01,14.4019
264,2013-01-23,2013,1,23,2,11,298583.0,0,Île-de-France,1.0,2013-01,14.4019
265,2013-01-23,2013,1,23,2,24,77564.0,0,Centre-Val de Loire,2.0,2013-01,14.4019
